code,gndr,niveau_sekI,parental_edu,grade7,grade8,grade9,t4_2014,t4_2015,t5_2016,t6_2017,t7_2018
012SG07,1,2,,2,2,2,5,5,99,99,99
012SG08,2,2,,2,2,2,99,99,99,99,99
012SG09,2,2,1,2,2,2,5,5,5,99,8
012SG10,1,2,,2,2,2,5,5,5,5,99
012SG11,2,2,1,2,2,3,99,99,6,11,11
012SG12,2,2,,2,2,2,5,5,5,9,9
012SG13,1,2,1,2,2,2,99,99,5,6,10
012SG14,1,2,0,2,2,3,6,6,6,11,11
012SG15,1,2,,2,2,2,99,99,99,99,99
012SG16,1,2,1,2,2,2,5,5,5,8,99
012SG17,2,2,1,2,2,3,99,99,99,99,99
012SG18,1,2,0,2,2,2,5,5,5,5,8
012SG19,2,2,0,2,2,2,6,6,6,7,11
012TG01,1,2,0,2,2,2,5,5,5,98,8
012TG02,1,2,0,2,2,2,5,5,5,5,8
012TG03,2,2,,2,2,2,99,99,99,99,99
012TG04,1,2,0,2,2,2,5,5,5,5,8
012TG05,2,2,1,2,2,2,99,99,99,99,99
012TG06,1,2,0,2,2,2,5,5,5,5,9
012TG07,1,2,1,2,2,2,5,5,5,5,8
012TG08,2,2,0,2,2,3,99,99,5,5,8
012TG09,2,2,0,2,2,2,99,99,5,8,8
012TG10,2,2,0,2,2,2,5,5,5,5,8
012TG11,1,2,0,2,2,2,5,5,5,9,9
012TG12,,2,,2,2,99,99,99,99,99,99
012TG13,1,2,0,2,2,2,99,99,99,99,99
012TG14,1,2,,2,2,2,99,99,99,99,99
012TG15,2,2,0,2,2,2,6,6,6,98,11
012TG16,2,2,1,2,2,2,5,5,5,9,8
012TG17,2,2,0,2,2,2,6,6,6,6,6
012TG18,2,2,0,2,2,2,6,6,6,98,11
012TG19,2,2,,2,2,2,5,5,5,8,99
021AG01,1,2,1,2,2,2,5,5,5,5,5
021AG02,1,2,0,2,2,2,5,5,5,7,99
021AG03,1,2,0,2,2,3,5,5,99,5,5
021AG04,1,2,1,2,2,2,7,5,5,5,5
021AG05,2,2,0,2,2,2,7,5,5,99,99
021AG06,2,2,0,2,2,2,7,5,5,5,6
021AG07,2,2,1,2,2,2,99,99,5,99,99
021AG08,2,2,1,2,2,2,7,5,5,5,8
021AG09,2,2,1,2,2,2,5,5,5,8,8
021AG10,1,2,0,2,2,2,7,5,98,6,6
021AG11,1,2,1,2,2,2,5,5,5,8,99
021AG12,2,2,1,2,2,2,7,5,99,99,99
021AG13,2,2,0,2,2,2,5,5,5,9,9
021AG14,1,2,1,2,2,2,5,5,5,5,7
021AG15,2,2,0,2,2,2,5,5,5,99,8
021AG16,2,2,0,2,2,2,5,5,5,5,8
021AG17,1,2,0,2,2,2,5,5,5,5,7
021AG18,2,2,1,2,2,2,7,5,5,5,8
021AG19,1,2,1,2,2,2,5,5,5,99,99
021AG20,1,2,1,2,2,2,5,5,99,99,99
021AR01,2,1,0,1,1,1,5,5,99,8,10
021AR02,2,1,0,1,1,1,5,5,5,98,7
021AR03,1,1,1,1,1,1,99,99,99,99,99
021AR04,2,1,,1,1,1,99,99,99,99,99
021AR05,1,1,0,1,1,99,99,99,99,99,99
021AR06,1,1,0,1,1,99,99,99,99,99,99
021AR07,1,1,1,1,1,99,99,99,99,99,99
021AR08,1,1,0,1,1,1,99,99,99,99,99
021AR09,1,1,1,1,1,1,99,99,99,99,99
021AR10,1,1,,1,1,1,99,99,99,99,99
021AR11,1,1,0,1,1,1,99,99,99,99,99
021AR12,1,1,0,1,1,1,7,5,99,5,10
021AR13,1,1,0,1,1,1,99,99,99,99,99
021AR14,1,1,1,1,1,1,99,99,99,99,99
021AR15,1,1,1,1,1,1,99,99,99,99,99
021AR16,2,1,,1,1,1,7,7,99,7,99
021BE01,2,2,1,2,2,2,5,7,5,5,5
021BE02,1,2,1,2,2,2,99,99,5,5,99
021BE03,2,2,0,2,2,2,7,5,5,99,99
021BE04,2,2,1,2,2,2,5,5,5,8,8
021BE05,2,2,0,2,2,2,5,5,5,8,8
021BE06,1,2,1,2,2,2,5,5,5,5,8
021BE07,2,2,,2,2,2,5,5,5,8,8
021BE08,1,2,1,2,2,2,5,5,99,99,7
021BE09,2,2,0,2,2,2,99,99,99,99,99
021BE10,2,2,0,2,2,2,5,5,5,5,7
021BE11,1,1,1,1,2,2,5,5,5,7,7
021BE12,2,2,,2,2,2,5,5,5,5,9
021BE13,2,2,0,2,2,2,5,5,5,8,8
021BE14,1,2,1,2,2,2,99,99,99,99,99
021BE15,2,2,,2,2,2,99,99,99,99,99
021BE16,2,2,1,2,2,2,7,7,5,5,5
021BE17,1,2,1,2,2,2,99,99,99,99,99
021BE18,1,2,1,2,2,2,99,99,5,5,8
021BE19,1,2,1,2,2,2,5,5,7,7,8
021BE20,1,2,0,2,2,2,5,5,5,5,5
021BL01,1,2,0,3,3,3,6,6,6,7,11
021BL02,2,2,0,3,3,3,99,99,6,98,7
021BL03,2,2,0,3,3,3,6,6,6,98,11
021BL04,1,2,0,3,3,3,6,6,6,7,7
021BL05,2,2,,3,3,3,6,6,6,6,7
